Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000024,1148.43,386.166,1045.28,403.659,1042.42,321.317,912.928,294.961,801.099,271.232,1039.44,483.209,907.114,509.631,792.302,524.434,845.193,415.458,845.245,371.307,577.437,365.625,344.891,362.48,848.151,459.556,589.174,447.826,365.567,456.684,1162.97,365.606,1165.94,403.686,1139.46,341.911,1142.56,433.15,321.327,489.135,338.874,494.956,341.965,441.943,291.893,342.003,294.739,339.055,335.953
000000000025,1145.44,388.898,1042.42,409.51,1042.4,321.324,907.037,306.557,789.39,274.299,1036.57,486.171,907.07,509.747,789.291,527.274,848.115,418.407,853.969,377.2,577.427,365.544,347.792,362.482,848.123,459.729,580.395,447.841,365.527,456.679,1160.08,368.467,1163.12,406.569,1136.62,344.833,1142.52,433.171,321.378,492.057,339.029,497.882,341.918,441.938,294.719,344.882,294.852,341.908,336.019
000000000026,1142.58,389.061,1042.31,412.633,1039.48,338.839,906.98,312.54,789.182,291.905,1030.64,494.912,907.112,512.683,789.361,527.399,851.089,418.5,854.088,380.153,583.27,368.373,344.863,362.483,851.091,459.798,592.053,456.58,365.54,456.723,1157.2,374.341,1163.04,409.506,1136.57,347.82,1142.4,436.032,318.423,492.043,338.915,497.858,341.925,441.974,291.89,341.986,294.745,339.039,330.172
000000000027,1142.51,389.026,1039.48,415.56,1042.34,338.941,904.119,315.551,786.228,294.933,1027.78,500.766,907.137,527.265,789.272,530.292,836.474,427.253,842.309,383.038,577.467,377.243,342.013,362.449,836.447,468.531,601.003,456.634,365.47,456.738,1154.29,374.353,1160.17,409.481,1136.6,353.668,1139.65,436.069,321.351,494.953,338.981,500.773,341.945,439.132,291.807,344.857,291.943,341.888,333.054
000000000028,1139.59,391.991,1039.4,424.29,1039.41,341.88,907.052,315.474,780.496,300.785,1027.78,500.899,909.995,530.185,786.389,533.167,839.299,430.154,851.066,386.006,577.311,380.184,341.928,362.478,836.396,468.487,589.131,459.517,368.479,456.733,1148.42,385.895,1157.16,412.479,1133.66,365.446,1136.63,441.945,318.404,489.081,338.938,497.858,344.89,441.953,291.787,344.847,291.888,341.848,327.206
000000000029,1139.45,406.684,1033.61,427.239,1027.78,344.862,904.128,318.509,777.53,312.454,1030.61,503.7,907.135,530.402,783.419,536.144,839.345,430.246,848.195,386.09,577.389,385.904,341.949,362.413,836.436,471.441,586.201,459.646,365.489,456.777,1145.53,388.923,1154.22,418.501,1130.69,365.605,1136.63,450.829,339.016,527.222,347.821,515.543,341.868,441.938,291.813,339.014,291.944,338.897,324.273
000000000030,1136.59,409.536,1033.58,430.16,1030.64,344.876,904.025,321.366,780.504,318.333,1027.78,503.867,901.174,533.212,774.558,542.045,842.294,433.129,851.08,389.008,580.35,385.903,347.766,362.435,842.27,477.201,592.128,459.69,365.407,459.54,1142.63,389.121,1148.44,427.206,1127.78,371.326,1136.52,456.765,324.25,503.811,338.983,503.786,338.986,442.016,291.875,341.845,294.72,338.914,330.16
000000000031,1133.68,409.601,1030.69,433.059,1027.69,344.865,901.097,324.215,771.598,318.54,1027.67,506.846,901.157,533.209,768.697,547.948,839.331,436.03,842.315,389.055,580.306,385.911,344.819,362.466,839.352,480.179,594.948,459.653,362.486,459.634,1142.49,392.008,1145.51,430.103,1127.75,377.207,1133.58,459.673,330.156,527.284,341.924,521.437,336.039,447.837,291.918,341.942,294.752,338.996,324.262
000000000032,1136.49,409.722,1030.62,433.13,1024.87,347.84,901.135,333.016,783.374,321.287,1024.85,509.656,901.177,536.225,765.852,550.798,839.305,433.209,836.47,389.042,580.377,385.912,347.822,362.63,842.301,477.329,580.379,459.72,362.539,459.581,1142.48,397.815,1145.53,430.251,1124.89,383.102,1130.67,459.634,318.368,506.818,333.118,506.702,338.959,444.982,297.796,344.868,300.771,341.875,333.076
000000000033,1133.64,412.565,1027.64,436.017,1024.73,350.773,889.357,324.282,774.55,321.413,1024.73,509.761,901.079,536.209,765.896,550.875,830.444,433.258,830.482,389.099,580.397,385.999,359.587,365.462,833.38,477.347,583.296,459.736,362.594,459.634,1142.4,406.573,1145.4,433.212,1121.95,388.895,1124.88,465.585,338.884,527.295,341.953,515.562,338.919,447.913,312.504,338.949,315.424,336.027,341.914
000000000034,1133.6,412.601,1024.82,436.152,1024.78,353.699,895.265,330.098,783.321,324.225,1024.68,512.68,904.088,539.129,768.777,551.017,836.336,436.221,836.418,394.904,577.438,386.088,362.444,365.481,836.379,480.301,589.102,459.773,362.52,459.58,1139.66,406.699,1142.58,435.98,1121.87,389.118,1121.94,474.345,330.148,506.748,338.956,503.811,335.982,450.816,306.61,350.768,306.599,341.984,341.892
000000000035,1130.67,430.265,1024.88,436.177,1027.68,359.598,898.129,333.074,774.612,321.42,1024.66,512.652,901.091,545.038,765.749,553.758,836.44,436.126,839.322,391.99,583.258,386.15,377.256,371.325,836.482,480.188,598.067,459.796,368.457,459.617,1139.54,412.609,1142.42,444.931,1118.97,391.998,1119.07,477.288,333.085,506.682,341.926,503.779,341.895,450.819,318.369,359.527,321.298,350.731,350.742
000000000036,1130.74,433,1024.75,438.994,1024.82,362.49,898.148,335.915,780.489,321.291,1021.86,515.521,898.143,547.972,762.854,553.842,848.142,436.168,848.177,392.05,577.393,388.877,362.508,383.046,851.11,480.264,597.912,459.753,362.539,459.657,1139.56,412.636,1142.5,444.96,1118.91,394.852,1119.02,480.121,333.103,512.592,338.919,503.847,335.994,453.706,309.523,356.628,312.465,347.863,341.913
000000000037,1124.89,430.185,1024.75,436.234,1024.89,362.433,903.957,330.132,783.361,318.484,1021.82,512.65,895.257,550.92,765.63,553.924,845.185,436.009,845.246,389.112,574.524,389.072,362.49,386.128,845.252,477.335,580.342,459.741,362.492,456.785,1139.45,412.578,1142.38,444.92,1116.03,392.056,1118.98,477.291,318.36,492.036,333.107,494.959,336.039,447.887,315.412,347.831,318.308,344.84,341.879
000000000038,1124.87,433.112,1024.69,439.005,1024.83,362.527,901.068,333.102,783.357,318.27,1021.73,512.629,895.233,547.978,765.67,553.892,836.323,436.121,839.283,391.911,580.407,391.912,365.482,388.909,836.314,480.241,589.161,459.806,365.46,456.807,1139.41,415.459,1139.63,450.791,1116.06,394.901,1118.96,477.325,324.278,503.728,338.942,503.697,339.013,450.819,315.435,359.53,315.505,356.574,344.823
000000000039,1124.86,433.134,1021.82,439.027,1024.72,362.441,901.096,333.027,783.363,315.499,1018.79,515.563,886.458,553.764,762.909,553.929,836.324,439.038,839.301,392.024,580.398,397.824,368.423,389.044,833.504,483.16,592.09,462.595,365.505,459.63,1139.43,415.496,1139.57,450.775,1118.9,394.935,1118.99,480.165,318.393,480.292,335.959,486.213,338.968,456.608,324.271,347.795,330.107,344.879,356.612
