Frame Number,x0,0.9999242066,y0,0.9985050093,x1,0.991843737,y1,0.9957777767,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000040,529.605,0.7123304085,314.723,0.6507765918,560.644,0.07178785874,503.291,0.6345288782,429.956,518.779,388.073,692.113,356.757,848.842,681.424,482.603,733.628,686.641,739.101,838.503,602.825,859.389,524.095,864.747,555.782,1152.93,571.51,1545.68,681.407,854.067,665.765,1131.85,650.229,1498.47,508.488,299.011,561.045,288.578,476.836,330.464,602.691,320.021,728.548,1592.81,739.141,1571.73,644.566,1524.95,519.162,1608.75,513.626,1597.94,597.664
000000000041,524.366,0.710132736,314.628,0.6475119931,555.524,0.05409406171,498.116,0.6294392546,424.73,518.765,382.952,691.999,356.563,838.543,676.227,482.448,728.764,686.507,738.951,823.053,602.622,854.242,519.24,859.563,555.743,1152.77,571.453,1540.55,676.218,848.902,650.044,1116.26,649.944,1503.86,492.95,293.841,560.687,283.358,471.812,325.27,597.614,314.821,697.247,1592.86,728.445,1571.94,639.599,1530.21,524.132,1613.58,513.663,1598.06,597.693
000000000042,524.169,0.7086640067,314.573,0.6442237121,545.21,0.03891282504,492.88,0.6244209143,419.506,513.825,382.725,691.89,356.495,828.052,665.822,482.361,728.726,681.483,734.009,817.893,597.678,848.989,519.149,854.427,555.587,1152.65,571.346,1550.82,671.019,838.467,644.835,1105.89,644.52,1508.98,487.728,288.593,555.739,283.291,461.337,320.177,597.473,314.794,681.297,1592.89,697.111,1571.91,623.857,1535.28,524.121,1613.64,513.767,1603.06,597.658
000000000043,519.238,0.7072216298,314.548,0.6387818061,540.022,0.02875033699,487.727,0.6206412109,414.28,513.68,377.561,691.916,356.504,828.025,665.746,482.176,728.672,676.221,733.913,817.708,597.483,843.748,519.005,854.243,550.347,1158.12,566.192,1540.49,665.791,828.054,639.578,1105.61,634.243,1488.19,487.526,283.457,555.5,278.186,451.002,314.991,587.099,309.572,649.864,1592.8,681.44,1571.97,613.263,1524.74,524.231,1608.74,513.695,1597.99,592.313
000000000044,519.051,0.7064733341,309.708,0.6333401097,534.827,0.02112344681,487.596,0.6180839547,409.122,508.597,377.538,691.901,356.565,822.912,660.604,477.256,728.599,670.999,733.778,817.498,592.38,838.463,518.921,849.055,540.091,1152.64,566.074,1540.52,660.487,822.936,634.332,1100.37,629.097,1488.21,482.561,283.358,550.33,278.059,445.908,314.94,576.698,309.379,644.608,1587.59,676.108,1571.93,613.252,1524.65,524.224,1613.67,513.637,1603.21,581.981
000000000045,518.787,0.7057493319,309.56,0.627799702,534.727,0.01603313482,482.676,0.6155237989,408.973,508.578,367.276,691.926,356.647,823.027,660.574,477.086,728.533,665.643,733.608,812.561,587.145,828.114,513.866,848.899,529.653,1147.41,566.129,1550.84,660.408,817.741,629.018,1089.94,618.611,1488.06,482.295,278.241,540.083,273.178,445.651,314.764,571.649,309.529,644.76,1577.3,676.194,1571.67,608.151,1519.51,513.881,1613.62,508.537,1603.18,587.073
000000000046,513.77,0.7050592309,309.481,0.6212407445,529.62,0.01096831115,482.556,0.6141232644,403.913,508.506,362.123,691.996,351.659,822.895,655.391,476.871,728.469,660.541,728.749,812.514,581.923,822.906,513.626,843.809,529.47,1142.34,566.143,1540.55,655.314,817.445,629.031,1079.59,623.749,1488.05,482.142,278.142,534.869,273.058,440.782,314.618,571.522,309.351,644.921,1577.3,681.341,1571.7,608.225,1519.57,518.95,1613.57,508.601,1603.12,587.179
000000000047,513.692,0.7050638975,309.339,0.6146620867,529.504,0.008394970958,482.542,0.6115577926,398.877,508.553,361.812,692.072,351.252,822.849,655.408,476.854,728.411,655.431,728.664,812.486,576.778,823.006,508.576,848.874,524.481,1142.29,566.298,1550.88,655.229,817.585,629.01,1074.42,634.353,1493.42,477.386,273.158,534.836,272.967,440.725,309.696,571.499,309.313,665.696,1587.61,691.811,1571.79,613.3,1530.16,518.915,1613.71,508.574,1603.29,592.438
000000000048,513.645,0.7050813284,304.347,0.6081022909,529.501,0.005856922285,482.417,0.6089836218,403.729,503.305,356.697,691.762,330.396,828.009,655.374,471.917,728.408,660.409,728.559,812.59,576.653,822.791,508.496,843.768,524.489,1147.46,566.378,1545.64,650.254,812.395,629.119,1069.25,639.555,1487.94,477.363,273.042,534.744,272.867,440.696,309.691,571.425,309.259,681.345,1592.72,697.184,1571.72,618.5,1519.41,524.211,1608.69,513.772,1598.08,597.611
000000000049,513.638,0.7050986221,304.267,0.6015580039,529.429,0.00328554273,482.356,0.6064133172,398.842,498.161,351.633,686.601,314.767,823.008,655.326,471.895,728.361,660.416,728.515,812.586,571.487,817.784,498.028,838.593,524.488,1147.72,571.537,1556.15,650.073,812.27,639.38,1069.18,644.996,1498.52,477.338,272.957,534.755,272.791,440.689,309.62,571.449,309.232,686.7,1582.49,718.102,1571.64,639.468,1530.03,518.825,1613.67,508.49,1603.21,602.753
000000000050,513.593,0.7051216804,299.146,0.5949885675,524.546,0.0007744528589,482.228,0.603842046,398.704,492.902,351.215,691.69,309.232,833.346,655.313,471.826,723.259,650.221,728.381,812.499,571.372,822.79,492.91,838.612,524.361,1152.78,571.601,1556.22,649.972,812.394,644.442,1069.13,655.399,1514.22,477.298,272.817,534.681,272.648,440.705,309.556,571.49,304.307,712.808,1587.59,733.929,1571.75,649.793,1540.39,518.988,1613.67,508.633,1603.23,602.644
000000000051,513.665,0.7051403466,298.938,0.5894483694,524.552,0.0006440702889,477.348,0.6000770826,398.681,487.774,346.103,686.679,278.168,838.48,655.383,471.741,723.154,650.263,728.329,812.42,571.413,817.53,492.827,828.152,524.402,1152.94,576.647,1550.92,650.057,807.107,644.722,1063.86,681.213,1488.03,477.381,272.673,534.814,267.744,445.616,309.356,571.553,304.098,728.396,1577.04,749.531,1566.36,650.191,1519.57,519.042,1608.69,513.667,1598.04,602.969
000000000052,513.66,0.7051636794,288.607,0.5829369861,524.477,0.0005367252408,477.238,0.5962490516,398.588,487.613,335.686,686.572,267.542,843.847,655.354,466.689,712.896,650.109,723.356,812.259,571.351,817.646,492.796,838.486,524.454,1163.37,576.718,1545.73,649.993,807.136,649.775,1058.49,686.752,1482.93,477.372,267.748,534.865,267.583,445.639,309.271,571.585,299.071,749.524,1571.95,770.536,1561.19,660.572,1519.36,519.094,1608.72,513.637,1597.99,607.9
000000000053,513.786,0.7051946982,288.583,0.5785444379,524.462,0.0004808469965,477.144,0.5911869747,398.562,482.649,320.098,681.382,251.879,849.129,655.336,466.647,712.768,649.921,723.299,807.125,571.398,817.626,492.794,833.349,524.472,1179.01,576.69,1545.73,650.056,807.171,650.237,1042.81,692.17,1477.67,482.158,267.654,539.953,267.448,445.629,304.281,571.594,293.761,765.131,1566.47,775.854,1540.49,681.483,1514.18,519.066,1613.54,508.643,1598.06,603.02
000000000054,513.776,0.7052114429,283.272,0.5741103932,524.442,0.0004582996348,477.001,0.586106775,398.618,482.352,314.951,681.414,231.037,854.148,655.279,466.61,712.776,650.025,723.313,807.033,571.412,817.741,492.797,838.565,524.509,1184.12,571.605,1540.48,650.067,812.211,655.456,1027.29,707.536,1482.91,482.134,267.433,540,262.487,440.777,304.201,571.602,293.758,786.262,1561.39,807.143,1535.16,686.765,1524.54,524.147,1608.69,513.754,1597.98,602.922
000000000055,513.759,0.7059084065,278.264,0.5697329346,524.394,0.0005063353185,476.88,0.5798292585,398.522,482.153,314.613,681.462,225.64,854.399,655.225,466.546,707.711,649.985,728.247,807.061,571.418,817.782,492.777,838.635,524.581,1168.49,571.646,1540.43,650.116,812.23,670.978,1026.96,712.9,1472.27,477.388,267.347,539.99,262.372,440.775,304.105,571.611,288.603,807.202,1550.97,817.503,1529.96,691.688,1509.04,519.183,1613.55,513.656,1598.06,603.027
