x,x0,0.9284272041,y0,0.9898678185,x1,0.6283676871,y1,0.9998173128,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000039,587.154,0.9286739718,435.231,0.8396389745,592.368,0.5954219,602.594,0.854129548,477.186,602.697,440.633,780.848,440.492,959.069,697.058,597.572,728.604,780.934,712.835,938.223,597.532,943.265,524.044,943.167,524.542,1189.49,524.085,1508.97,655.261,943.526,644.771,1231.15,608.231,1529.88,561.093,409.061,608.236,409.058,529.475,440.318,644.936,440.43,686.637,1592.81,691.881,1571.93,592.448,1561.25,519.16,1566.78,487.542,1556.17,524.465
000000000040,581.83,0.9182087765,435.114,0.8222737473,587.206,0.5367547703,597.657,0.8373119536,476.998,597.707,440.475,780.966,440.412,969.45,697.066,592.409,728.626,775.937,712.949,938.134,597.434,943.253,519.174,943.139,524.566,1189.3,524.084,1503.79,655.218,943.54,644.82,1231.11,608.159,1530.01,560.889,403.928,608.027,403.853,524.497,435.395,644.773,435.383,691.749,1592.89,692.026,1571.9,592.305,1566.39,529.647,1577.03,492.898,1566.5,524.344
000000000041,576.625,0.9077845463,429.968,0.8038242821,581.96,0.4723028313,597.549,0.8192891603,476.87,597.64,440.325,781.056,440.331,974.573,692.179,587.192,728.54,775.715,718.018,937.846,592.418,943.265,519.101,943.183,524.507,1189.61,524.063,1524.57,655.139,943.502,644.802,1231.4,608.229,1530.15,560.731,398.73,603.092,398.707,524.117,435.16,644.517,435.041,691.728,1592.87,692.031,1571.9,592.439,1566.61,529.537,1577.06,498.06,1566.6,524.333
000000000042,566.482,0.8973511944,424.729,0.7821262511,576.675,0.4134508297,592.377,0.8011746147,471.715,597.456,435.445,775.95,435.479,974.613,692.069,576.799,728.556,770.677,718.043,932.788,592.296,938.247,518.943,938.142,524.427,1189.56,524.285,1519.54,650.293,943.373,644.692,1231.1,608.186,1530.04,555.525,398.386,602.764,398.385,519.049,429.826,639.483,424.785,691.822,1592.81,692.128,1571.88,592.414,1566.47,519.196,1582.4,482.524,1571.69,529.641
000000000043,566.171,0.8877520727,409.069,0.7593539369,571.482,0.3548318786,581.979,0.7830563898,461.458,592.302,435.374,775.783,435.246,969.48,691.848,571.431,728.578,770.51,712.927,932.655,587.096,938.038,518.776,937.94,524.378,1189.34,524.248,1524.76,650.219,943.142,644.575,1226.22,608.19,1530.08,545.168,393.316,597.647,393.332,513.857,424.729,629.052,419.499,691.877,1592.76,692.177,1571.88,597.411,1566.56,508.63,1582.42,477.235,1571.81,534.716
000000000044,561.077,0.8773270133,398.81,0.7387579794,566.379,0.3018139853,571.588,0.7637681493,450.991,581.953,435.255,775.602,434.948,969.57,691.696,566.258,728.565,765.292,718.047,922.421,581.893,932.79,513.802,927.637,524.319,1168.49,524.165,1530.02,650.115,937.966,644.582,1231.18,608.114,1529.98,529.608,388.042,592.229,387.967,508.469,414.304,613.541,403.98,691.866,1592.82,692.066,1571.96,592.434,1561.46,487.599,1587.65,471.755,1571.85,534.761
000000000045,555.746,0.8668929979,393.518,0.7201927903,566.177,0.2490134564,566.157,0.744452774,445.626,571.576,435.074,770.437,429.927,953.734,686.665,560.796,728.406,749.535,718.062,912.002,576.621,927.486,508.562,917.204,524.147,1158.06,524.236,1535.2,650.005,932.748,644.583,1231.24,608.051,1524.93,524.257,372.448,576.656,367.294,492.976,403.851,608.363,398.731,686.726,1592.77,691.897,1571.92,592.435,1561.19,482.489,1598.06,466.727,1572.12,534.91
000000000046,545.255,0.8573429682,393.057,0.7005740571,561.102,0.1962745515,560.906,0.7251488964,440.386,566.241,429.909,759.93,419.485,943.429,686.482,555.505,723.39,739.212,718.084,901.696,571.502,911.997,498.13,906.777,519.272,1168.49,524.223,1540.4,649.937,922.384,644.537,1210.49,608.005,1524.58,519.022,356.939,566.339,356.727,482.54,393.404,608.022,388.112,686.534,1592.76,691.834,1571.89,597.43,1545.76,482.373,1603.35,466.658,1582.28,539.953
000000000047,534.718,0.8495285687,372.319,0.677812942,560.728,0.1490974891,555.662,0.7058611158,435.227,561.103,419.546,754.781,414.235,938.091,681.329,534.723,723.196,728.683,712.885,896.059,571.33,906.739,492.945,906.584,519.074,1163.29,524.266,1540.39,649.831,911.935,644.693,1220.78,608.02,1514.19,513.862,351.474,566.009,351.427,477.265,387.961,602.848,382.81,681.363,1592.73,691.786,1571.92,597.467,1535.22,482.482,1608.29,471.747,1582.43,540.047
000000000048,524.391,0.8434497994,356.773,0.6572412492,555.623,0.1022744843,534.9,0.6866165669,435.008,555.564,403.902,739.051,403.983,932.726,665.769,524.451,718.024,723.394,712.801,890.844,566.438,901.587,492.813,901.584,518.905,1173.78,524.233,1545.62,649.82,906.579,644.664,1210.45,607.851,1488.33,498.19,346.134,560.74,335.771,477.005,377.62,602.577,361.949,676.134,1582.49,686.722,1566.83,587.197,1524.54,482.465,1608.61,471.719,1592.84,540.087
