Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000028,0,0,601.936,5.35893,545.168,5.35882,525.491,41.6785,488.312,102.377,668.576,5.35288,717.577,98.4665,695.886,218.001,598.056,196.409,564.759,192.476,572.596,337.402,666.636,472.654,631.349,202.314,590.262,353.145,586.362,511.828,0,0,0,0,0,0,0,0,527.512,541.206,549.063,545.181,600.026,523.547,615.652,496.209,617.668,492.259,682.327
000000000029,0,0,601.993,5.35815,547.091,5.35828,525.478,41.6267,488.311,102.369,670.561,5.35064,721.463,98.4556,686.195,217.957,599.933,196.416,566.649,192.467,568.612,337.449,662.674,476.495,633.226,204.256,592.142,351.227,588.161,511.854,0,0,0,0,0,0,0,0,525.608,541.217,545.14,545.166,601.877,523.589,609.801,496.206,615.627,492.219,676.439
000000000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.742,141.566,915.466,137.637,842.95,272.862,866.415,413.851,993.696,145.459,944.811,321.808,980.035,507.957,0,0,0,0,0,0,0,0,915.374,556.962,929.088,560.852,999.658,527.518,791.937,439.321,793.996,431.583,880.147
000000000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.739,141.569,915.469,135.729,842.974,272.844,866.411,413.859,993.697,145.497,944.828,321.822,980.033,507.969,0,0,0,0,0,0,0,0,915.391,556.956,929.103,560.836,999.665,527.533,791.929,439.305,793.986,431.582,880.154
000000000032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.714,143.482,915.466,135.739,844.87,272.832,866.422,413.879,991.816,147.392,944.834,321.811,980.039,507.94,0,0,0,0,0,0,0,0,915.392,556.942,929.101,560.819,999.688,527.526,790.081,439.329,793.98,431.578,880.146
000000000033,0,0,601.904,5.35717,541.265,5.36339,521.607,43.5765,490.292,106.315,0,0,0,0,0,0,601.863,198.359,568.605,196.381,601.96,347.29,666.536,480.457,633.28,204.245,588.245,351.228,588.176,509.935,0,0,0,0,0,0,0,0,529.498,541.163,552.952,543.241,601.914,523.531,611.769,490.31,617.6,482.484,680.369
000000000034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.715,141.545,915.444,135.739,844.861,272.84,866.439,413.92,991.831,145.469,946.664,321.772,980.025,507.938,0,0,0,0,0,0,0,0,915.382,556.965,929.088,560.854,999.657,527.522,791.965,437.404,795.885,431.54,880.154
000000000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.718,141.538,915.418,137.615,842.962,274.717,866.442,415.779,993.71,145.45,944.835,321.779,980.032,507.872,0,0,0,0,0,0,0,0,915.401,556.958,929.114,560.851,999.663,525.592,791.933,439.328,793.981,431.586,880.174
000000000036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.68,139.596,915.409,135.712,842.964,274.741,866.449,413.908,991.793,143.509,946.663,321.789,980.025,507.911,0,0,0,0,0,0,0,0,915.394,556.945,929.112,560.845,999.672,527.5,791.982,439.325,795.918,431.561,880.18
000000000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.681,139.574,915.41,135.726,842.927,274.776,866.436,413.928,991.788,141.548,946.679,321.782,980.023,507.865,0,0,0,0,0,0,0,0,915.358,556.938,929.071,560.824,999.689,527.5,792,439.327,795.923,431.563,880.156
