Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000032,438.028,438.013,541.796,382.425,539.207,478.533,693.426,536.563,845.19,612.502,551.885,286.323,718.788,220.525,855.281,172.383,855.353,377.385,855.352,430.453,1133.57,455.653,1406.72,455.835,852.826,326.78,1153.78,352.01,1467.38,372.31,427.953,435.593,422.857,432.951,0,0,415.361,407.657,1530.66,392.476,0,0,1469.97,367.207,1447.13,496.166,0,0,1449.72
000000000033,458.227,369.731,551.8,389.99,551.822,491.176,690.99,534.092,845.25,605.009,556.815,291.308,721.35,228.05,855.273,190.109,857.833,384.932,852.824,433.043,1138.58,453.311,1388.99,458.239,850.294,331.766,1151.24,354.489,1464.83,374.844,450.691,397.621,448.118,364.674,453.231,433.008,445.583,352.022,1548.4,392.489,0,0,1505.32,379.849,0,0,0,0,1424.41
000000000034,468.354,405.152,554.26,392.543,554.277,491.15,693.468,531.65,845.226,599.888,557.009,293.915,731.356,233.089,840.176,205.336,840.145,384.964,847.771,432.992,1118.33,453.183,1373.82,458.277,837.576,334.278,1146.17,354.53,1454.76,374.887,448.141,415.204,453.252,392.515,453.203,438.056,450.706,362.181,0,0,0,0,1472.49,387.477,0,0,0,0,1404.2
000000000035,473.469,415.305,554.469,394.983,556.914,493.668,693.455,531.529,840.235,594.756,559.475,296.38,723.815,238.195,837.526,215.47,857.882,392.502,857.858,438.06,1123.52,453.24,1363.73,455.748,855.345,336.87,1143.75,357.129,1462.34,379.855,455.677,425.417,455.816,400.089,468.416,448.125,453.162,364.738,0,0,0,0,1500.25,389.991,1419.35,453.15,0,0,1386.51
000000000036,475.903,389.994,559.394,397.534,556.98,496.237,693.503,531.566,842.759,592.32,561.961,303.982,718.759,250.785,819.973,230.696,878.14,395.029,878.159,443.081,981.841,468.408,1464.88,377.427,880.635,344.481,1141.15,369.702,1454.75,377.367,458.361,412.664,455.775,377.298,470.955,440.584,455.673,357.11,1538.23,392.573,0,0,0,0,1533.2,382.38,0,0,1507.9
000000000037,476.001,443.082,559.422,402.626,559.456,493.613,703.571,534.206,847.74,589.822,564.474,311.671,728.853,250.92,822.468,235.729,865.456,400.12,860.443,450.662,986.881,473.395,1452.26,377.352,862.97,352.015,1138.65,369.795,1442.11,377.342,455.786,448.142,458.256,430.469,475.948,455.821,455.846,374.814,0,0,0,0,0,0,1525.53,369.711,0,0,1512.91
000000000038,483.592,435.557,569.559,412.771,574.546,511.312,713.708,536.561,857.79,592.239,571.996,316.655,726.367,253.507,822.473,243.311,855.349,405.132,855.346,453.142,1118.34,450.615,1373.84,450.628,855.305,352.104,1133.52,372.289,1454.75,374.787,463.35,450.701,465.872,417.843,483.602,463.322,463.334,374.78,1525.53,397.662,1523.08,392.471,0,0,1404.17,460.821,0,0,1404.14
000000000039,488.604,417.84,569.594,415.221,574.574,513.851,718.734,536.774,857.953,592.232,572.006,326.788,723.894,268.501,822.468,248.4,873.055,412.723,873.055,458.238,1120.87,453.179,1361.18,440.624,873.065,362.13,1128.54,372.211,1431.99,377.324,473.404,438.118,473.45,410.246,481.078,463.325,465.889,374.912,0,0,0,0,0,0,0,0,0,0,1383.89
000000000040,488.631,455.761,569.561,420.322,561.998,516.434,723.83,541.773,862.964,594.725,574.595,329.319,736.509,268.633,830.067,248.31,860.416,415.352,860.454,460.841,1113.34,455.711,1366.19,438.079,860.42,372.197,1125.96,372.264,1399.11,372.341,465.889,463.33,473.394,435.544,486.076,476.039,468.419,384.94,0,0,0,0,1409.22,377.385,0,0,0,0,0
000000000041,483.557,394.953,574.526,430.433,574.696,521.469,726.403,541.745,873.036,594.77,579.644,331.891,733.926,273.636,837.682,248.261,867.99,420.316,870.52,470.879,1115.8,455.695,1366.19,443.091,865.458,372.215,1120.99,372.164,1409.24,362.193,475.929,420.322,473.351,389.978,483.594,465.854,470.834,384.901,1485.09,331.85,1485.11,331.874,1439.56,374.788,0,0,0,0,1391.51
000000000042,493.74,415.281,574.715,432.995,577.261,526.599,733.941,544.291,870.516,592.239,579.699,334.296,736.4,276.26,845.235,248.318,862.957,422.85,865.462,470.929,1108.3,458.288,1340.96,445.602,862.913,372.307,1120.88,364.67,1383.94,357.161,476.059,450.61,481.024,412.706,483.573,473.491,476.039,389.987,0,0,0,0,1404.21,364.682,0,0,0,0,0
000000000043,501.285,453.21,577.24,435.544,592.261,531.598,736.471,546.778,860.504,582.231,579.664,334.452,736.45,288.744,850.272,245.866,855.347,427.934,852.841,475.927,1103.21,455.769,1348.57,443.143,855.365,374.773,1118.41,359.644,1363.67,359.691,478.572,465.86,491.168,430.473,506.289,478.466,486.102,392.606,0,0,0,0,1376.38,357.146,0,0,0,0,1366.2
000000000044,508.888,435.547,577.053,435.558,587.27,524.011,736.386,549.259,857.856,577.192,577.121,341.935,733.891,293.836,857.868,245.869,842.671,430.451,835.126,476.016,918.58,526.524,0,0,842.738,374.855,1123.35,357.124,1353.6,359.652,486.128,455.74,493.655,417.869,501.246,475.985,491.115,387.475,1424.47,329.31,1424.36,329.269,1368.79,359.65,0,0,0,0,0
000000000045,511.319,453.291,577.121,440.605,579.728,519.055,731.403,541.788,855.37,567.028,574.661,354.563,721.365,306.546,860.325,250.775,842.7,430.475,840.142,475.908,1103.21,453.312,1351.08,445.667,842.735,382.368,1110.82,357.154,1348.54,362.163,486.127,460.781,496.136,430.469,491.167,476.117,491.149,392.546,1404.21,324.195,1404.14,324.244,1368.82,369.754,0,0,0,0,1378.87
000000000046,503.771,397.553,577.224,448.167,594.789,526.532,723.857,536.815,842.701,556.968,574.551,354.681,718.832,311.655,860.38,253.373,852.811,425.416,847.764,473.418,1100.58,453.249,1363.68,450.64,855.326,374.781,1105.7,354.557,1343.46,367.164,0,0,491.098,394.976,491.106,470.9,491.097,390.001,1391.53,314.15,1386.53,316.72,1366.27,372.253,1399.09,458.271,0,0,1394.07
000000000047,498.725,395.027,577.14,438.024,584.777,496.216,665.666,534.192,837.586,541.783,574.697,364.665,721.324,316.612,865.499,255.939,862.932,417.799,857.858,473.369,1100.7,453.195,1356.12,448.148,860.41,369.758,1100.67,354.505,1323.22,367.22,493.598,402.63,493.581,389.966,496.323,420.403,496.21,379.872,0,0,0,0,1356.12,372.262,1421.9,417.849,1411.75,432.994,1376.35
000000000048,498.802,395.017,579.668,435.584,584.746,486.104,0,0,0,0,577.186,372.191,721.305,331.79,862.969,271.078,857.879,412.713,860.411,455.705,1103.13,453.172,1351.08,448.129,855.323,359.656,1095.63,352.006,1315.64,369.736,493.633,405.166,493.622,387.454,501.248,420.334,493.743,374.858,1345.97,319.172,1345.98,324.249,1343.46,374.76,1396.6,455.769,0,0,1373.82
000000000049,518.989,463.325,587.264,445.647,599.911,501.283,0,0,0,0,577.086,374.913,716.305,339.402,852.83,291.252,860.41,412.703,862.932,453.273,1103.18,453.186,1356.1,445.638,857.846,362.189,1085.57,351.939,1287.82,364.69,498.826,458.337,511.355,443.154,503.809,473.532,501.26,397.624,0,0,0,0,1320.72,357.133,0,0,0,0,1394.05
000000000050,516.42,374.871,574.546,430.403,577.215,379.868,701.133,354.547,847.772,304.019,584.697,465.849,0,0,0,0,860.416,410.185,865.457,448.193,1103.16,453.117,1361.13,445.631,855.369,357.176,1082.92,349.476,1282.8,354.604,513.787,377.36,0,0,516.419,395.002,0,0,0,0,0,0,1320.72,347.015,1416.82,422.853,0,0,1389.01
000000000051,526.555,387.444,587.274,432.895,597.436,475.985,0,0,0,0,584.724,374.823,708.643,354.531,840.158,329.267,860.407,412.686,870.54,450.68,1100.65,450.711,1346.06,448.152,857.834,364.701,1083.05,351.959,1257.51,347,513.942,394.995,513.966,374.819,518.933,405.166,518.973,372.275,1310.59,354.585,0,0,1282.77,339.437,1396.6,450.686,0,0,1381.37
000000000052,534.192,453.133,594.835,417.863,602.405,470.879,0,0,0,0,587.232,369.694,703.606,354.66,845.258,336.87,878.122,405.138,883.183,445.633,1100.58,448.183,1351.06,445.668,875.589,357.106,1085.52,344.416,1252.39,336.918,516.473,453.137,524.071,433.065,0,0,531.557,392.453,1308.05,352.089,1303.02,341.938,1277.69,331.848,1411.76,430.483,1406.69,435.606,1378.87
000000000053,539.187,443.149,587.255,395.103,594.893,435.49,0,0,0,0,587.286,362.162,706.098,354.475,835.099,354.514,862.926,402.616,870.533,435.593,1100.67,438.087,1351.09,445.643,860.352,364.676,1085.46,344.438,1262.61,336.84,519.07,445.608,526.541,432.86,0,0,526.564,384.922,1310.57,362.129,1305.54,351.999,1285.37,334.31,1421.87,425.408,1414.31,435.482,1389.04
000000000054,551.794,389.997,602.437,397.646,617.612,453.275,0,0,0,0,597.296,341.979,716.205,349.564,824.994,354.553,870.499,392.584,878.062,432.884,1100.58,435.513,1343.5,443.125,862.915,352.056,1085.52,334.447,1262.59,339.424,534.233,405.161,536.618,374.909,536.746,435.462,536.583,354.693,1282.7,298.941,1282.81,301.513,1292.86,347.016,1411.75,427.936,1404.14,440.592,1376.34
000000000055,539.25,427.911,604.991,395.08,617.582,448.107,0,0,0,0,599.891,339.455,716.302,336.917,835.04,351.97,855.335,390.02,862.913,422.88,1080.46,433.034,1343.47,440.584,847.792,351.994,1082.99,331.928,1267.62,339.461,524.062,430.397,534.057,412.644,0,0,534.058,364.669,1297.94,314.097,1295.41,314.132,1290.4,341.944,1391.55,433.021,0,0,1383.95
000000000056,539.253,415.224,610.05,395.014,625.18,448.178,0,0,0,0,602.402,336.962,716.348,334.273,837.577,334.317,852.811,382.404,857.89,415.2,1077.92,420.336,1328.34,438.008,842.758,351.995,1082.94,331.816,1265.03,339.442,526.56,415.358,534.09,395.123,0,0,534.095,354.534,1320.68,346.951,0,0,1290.36,341.967,1386.46,470.867,1383.99,463.354,1363.74
000000000057,546.829,405.187,610.034,389.938,612.538,435.47,0,0,0,0,612.479,334.425,733.901,324.278,840.286,311.636,852.795,377.383,860.413,415.209,1077.87,415.307,1313.13,437.997,847.735,336.91,1077.88,331.85,1262.51,339.433,531.635,410.19,536.645,389.943,0,0,536.77,352.043,1302.93,321.696,1297.96,319.142,1282.83,344.423,1383.94,453.266,1376.36,455.823,1340.94
000000000058,541.78,402.643,612.499,374.896,610.038,321.743,721.318,314.017,0,0,615.014,331.834,733.939,311.527,842.66,291.45,857.824,369.737,860.383,407.676,1062.68,415.168,1297.96,435.542,852.829,329.233,1075.34,331.72,1262.57,341.902,531.637,400.081,536.618,392.46,556.851,334.323,536.676,351.993,1295.46,316.647,1295.42,316.654,1285.33,344.472,1366.19,455.735,1361.18,455.795,1323.21
000000000059,546.827,397.58,612.575,372.294,614.964,430.419,0,0,0,0,615.006,316.599,736.49,294.024,850.302,271.108,852.816,367.253,855.344,407.66,1060.13,415.217,1297.94,435.525,855.303,319.208,1065.35,329.205,1265.08,339.415,534.147,400.067,536.686,387.485,0,0,536.727,349.512,1300.51,309.054,1300.45,314.063,1287.82,336.85,1366.32,453.258,1363.67,455.743,1320.71
000000000060,551.824,384.908,615.166,369.687,615.057,425.393,0,0,0,0,615.118,311.552,736.457,283.771,845.231,250.953,850.324,362.152,852.825,405.166,1060.28,412.793,1290.34,435.416,852.796,314.109,1072.87,331.674,1249.91,336.966,534.202,392.389,536.8,369.731,559.421,400.163,539.167,334.309,1287.9,311.617,1292.88,314.09,1265.03,339.41,1356.09,458.324,1351.09,455.853,1318.17
000000000061,554.302,357.077,617.608,369.72,620.108,430.478,749.127,453.184,857.837,458.282,615.094,304.005,736.478,271.197,842.728,233.25,852.797,354.638,855.373,395.12,1062.74,410.231,1280.25,430.415,850.273,311.546,1062.83,331.722,1270.14,336.938,536.729,372.217,536.781,344.489,536.752,394.962,541.733,326.791,1313.15,367.177,1308.1,346.999,1295.43,334.302,1346.02,455.804,1343.41,455.793,1300.43
000000000062,554.396,352.093,617.531,369.671,617.566,433.047,754.11,455.668,855.35,470.924,615.172,296.469,733.878,255.952,850.294,210.352,852.841,354.627,857.86,395.06,1062.71,410.131,1270.13,430.466,847.8,314.041,1065.31,329.306,1265.12,336.943,539.164,369.7,536.77,334.409,539.199,394.948,539.265,319.153,1302.91,311.54,1300.45,311.629,1290.33,336.925,1343.54,453.271,1340.95,453.289,1287.8
000000000063,551.845,374.792,615.058,364.701,615.056,435.585,739.05,455.644,850.312,475.988,617.509,293.963,733.938,245.874,845.252,187.673,857.844,354.631,860.425,395.033,1065.23,410.222,1257.49,425.389,852.85,311.653,1062.68,324.24,1262.48,336.943,536.586,379.92,536.732,354.703,536.652,397.536,536.743,326.712,1290.4,311.557,1292.9,311.625,1280.27,339.434,1325.77,455.743,1325.75,453.281,1277.71
000000000064,554.415,372.23,612.584,359.651,610,435.544,736.554,455.836,845.232,486.113,615.082,293.85,723.873,238.246,840.156,172.551,845.246,354.625,847.796,394.96,1062.66,410.22,1249.9,420.306,842.734,314.185,1062.73,324.211,1257.45,339.438,536.723,377.307,541.701,352.113,534.151,395.118,536.79,319.192,0,0,0,0,1265.09,347.004,1318.15,458.322,1310.65,455.806,1272.69
000000000065,554.297,377.398,615.115,354.647,614.939,432.885,736.508,458.346,842.71,493.727,617.709,291.36,736.421,230.655,837.708,167.368,852.837,354.594,855.353,394.976,1060.22,405.151,1247.33,417.892,850.293,311.666,1060.31,324.193,1272.67,339.375,536.603,387.401,539.23,364.689,539.217,395.13,539.194,326.753,1305.57,329.304,1302.99,324.211,1285.36,341.926,1308.04,458.292,1303.01,455.827,1265.13
000000000066,554.274,367.236,617.578,354.588,617.55,430.376,736.401,460.758,840.297,496.299,620.131,288.799,736.487,228.144,837.614,162.335,857.834,352.116,857.91,392.513,1060.21,410.233,1239.79,415.42,855.316,311.583,1062.63,326.783,1270.1,339.364,536.715,372.253,536.782,351.984,539.256,392.41,539.185,319.177,1295.39,316.628,1300.44,319.164,1290.38,339.385,1295.44,460.785,1287.91,458.294,1257.52
000000000067,541.775,390.022,617.588,354.507,620.135,286.32,733.934,230.562,835.1,159.864,615.127,427.956,736.463,460.833,837.715,498.82,857.85,352.003,862.919,390.025,1057.61,407.689,1242.23,415.384,852.812,311.573,1062.67,329.25,1267.66,339.396,0,0,534.11,377.412,554.34,314.188,529.076,372.225,1303,316.61,1297.98,314.152,1285.27,339.382,1285.3,463.302,1277.68,458.34,1262.5
000000000068,534.146,395.082,617.679,354.521,617.734,291.265,736.486,228.067,827.536,167.398,615.17,432.859,736.387,460.832,835.14,501.311,852.793,352.051,857.871,392.526,1060.11,407.695,1254.94,417.863,845.245,311.624,1062.73,329.307,1270.11,341.967,0,0,529.133,389.895,554.376,324.2,531.61,374.878,1303,311.504,1300.47,311.545,1282.77,354.529,1282.69,468.416,1267.63,463.37,1277.69
000000000069,559.459,374.77,617.738,354.539,617.689,430.363,738.987,460.781,845.211,503.839,622.647,291.293,738.957,228.077,822.553,172.425,850.315,354.528,852.815,392.606,1047.62,410.151,1252.44,427.862,850.259,311.62,1060.23,331.676,1270.13,341.964,546.783,379.918,549.333,357.172,544.29,395.163,549.349,329.29,1323.25,362.128,1297.94,311.546,1285.27,341.946,1320.74,395.111,1308.11,412.699,1287.85
000000000070,554.316,334.382,620.224,354.612,630.243,288.753,731.433,233.103,819.854,180.106,617.661,430.492,736.515,458.275,842.68,503.758,850.28,354.576,852.793,394.987,1055.16,412.806,1249.93,422.875,847.737,314.087,1060.11,331.81,1265.13,341.948,0,0,539.301,331.766,0,0,544.302,324.24,1318.18,344.432,1308.1,329.265,1277.69,346.958,1257.51,470.857,1247.4,465.833,1277.69
000000000071,554.394,334.309,620.228,357.1,632.703,291.266,736.35,233.245,817.48,190.254,615.18,433.038,738.917,455.751,847.765,496.292,847.765,354.549,852.794,392.582,1052.59,412.852,1239.8,427.966,842.756,314.135,1060.22,331.775,1267.59,344.444,546.8,364.683,544.236,334.318,561.953,329.271,536.631,392.602,1320.72,349.519,1305.56,321.739,1275.2,341.975,1244.93,470.879,1242.24,463.375,1262.53
000000000072,559.48,395.042,622.691,362.21,635.19,291.398,741.547,233.299,817.384,197.762,617.561,435.498,739.09,453.254,855.268,493.752,855.318,357.15,855.346,395.08,1045.1,415.197,1227.12,430.479,850.319,316.718,1060.26,331.733,1265.03,341.968,549.283,392.496,0,0,557.008,329.326,536.685,392.494,1303,319.15,1300.48,316.674,1280.25,341.916,1242.38,468.389,1232.16,465.821,1247.35
