Frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25
41,794.884,262.151,857.5,259.03,862.223,331.094,973.482,359.279,1084.76,385.9,859.135,194.797,957.788,191.622,1056.49,179.129,1054.93,262.159,1051.8,310.705,1100.35,348.339,0,0,1054.92,218.281,1163.03,293.478,0,0,783.855,279.385,782.349,246.538,794.815,301.288,788.605,218.302,0,0,0,0,0,0,0,0,0,0,0,0
42,796.39,257.391,859.066,257.449,865.351,331.025,971.889,357.737,1092.51,384.38,862.217,194.737,992.252,186.968,1083.12,179.131,1059.65,271.543,1053.35,315.418,1109.8,356.16,0,0,1069.02,227.688,1155.22,205.743,0,0,783.876,273.128,783.879,243.409,791.7,296.664,791.693,218.297,0,0,0,0,0,0,0,0,0,0,0,0
43,796.46,257.488,860.625,257.43,869.977,331.036,970.3,357.728,1097.22,382.852,862.238,194.734,1004.78,182.23,1106.6,172.863,1056.49,259.017,1047.12,307.601,1186.54,329.5,0,0,1059.66,219.881,1199.07,227.688,0,0,783.923,273.143,783.906,243.332,794.791,295.065,796.365,216.699,0,0,0,0,0,0,0,0,0,0,0,0
44,794.858,255.915,860.662,255.854,869.974,327.973,982.838,357.673,1101.92,382.784,863.771,193.188,1001.67,180.681,1144.22,177.555,1069.01,259.007,1056.49,307.603,1152.07,307.601,0,0,1072.15,221.409,1189.67,218.285,0,0,783.827,270.04,782.348,243.283,790.137,293.421,788.587,216.702,0,0,0,0,0,0,0,0,0,0,0,0
45,791.715,255.913,859.033,252.739,863.799,323.289,971.907,354.569,1098.81,381.246,865.347,188.502,1004.81,179.117,1119.15,169.651,1078.43,232.378,1059.61,299.749,0,0,0,0,1070.6,205.751,0,0,0,0,780.762,270.054,780.719,241.724,790.17,290.357,788.594,210.437,0,0,0,0,0,0,0,0,0,0,0,0
46,785.45,255.801,855.962,251.175,862.229,323.266,979.735,353.001,1101.95,379.63,859.134,182.301,1001.65,175.95,1114.49,163.457,1072.19,219.854,1065.91,277.82,0,0,0,0,1065.89,208.884,0,0,0,0,774.473,269.96,772.89,235.522,782.338,290.354,783.926,205.733,0,0,0,0,0,0,0,0,0,0,0,0
47,783.943,254.3,851.241,248.05,859.039,321.684,957.802,346.783,1103.5,378.076,859.096,180.689,1003.24,169.692,1119.17,157.241,1083.14,221.432,0,0,0,0,0,0,1076.87,219.835,0,0,0,0,772.887,268.363,772.888,233.964,782.322,288.773,785.421,194.818,0,0,0,0,0,0,0,0,0,0,0,0
48,783.898,254.296,851.275,243.355,859.117,320.135,960.937,345.21,1103.47,376.496,857.491,179.108,992.243,168.153,1112.9,155.541,1072.17,232.401,1073.76,279.377,1181.82,285.653,0,0,1070.61,204.184,1169.31,171.299,0,0,771.413,268.42,769.84,235.512,783.941,282.521,780.73,204.183,0,0,0,0,0,0,0,0,0,0,0,0
49,785.495,252.724,849.717,243.305,859.039,318.586,975.019,345.237,1106.6,373.405,857.471,175.962,993.826,164.993,1111.34,144.641,1081.55,221.417,1072.15,288.77,1180.26,287.22,0,0,1070.61,190.076,0,0,0,0,771.403,268.394,771.32,233.966,785.449,284.08,780.714,207.312,0,0,0,0,0,0,0,0,0,0,0,0
50,783.826,249.62,849.662,243.304,857.539,318.548,979.717,345.189,1105.08,373.379,857.465,172.842,995.356,157.184,1109.75,143.02,1076.86,241.785,1069.04,287.218,1197.52,291.92,1307.18,291.903,1072.18,199.468,1195.92,202.617,0,0,771.324,266.867,769.816,233.918,779.171,282.588,779.197,207.306,0,0,0,0,0,0,0,0,0,0,0,0
51,783.828,249.629,848.126,241.773,857.464,318.561,982.841,345.18,1103.51,370.319,855.916,171.25,995.396,155.58,1111.35,133.659,1087.83,210.451,1047.09,299.744,0,0,0,0,1086.26,210.438,0,0,0,0,771.342,268.363,769.788,232.432,780.717,284.119,777.631,205.794,0,0,0,0,0,0,0,0,0,0,0,0
52,783.855,246.497,848.098,237.107,857.529,318.556,953.095,343.655,1098.82,370.216,854.389,169.697,996.934,150.908,1111.32,128.952,1058.04,255.888,1058.04,280.96,0,0,0,0,0,0,0,0,0,0,771.353,265.309,769.819,232.402,782.305,284.064,779.146,205.733,0,0,0,0,0,0,0,0,0,0,0,0
